ID_FONOGRAMA_COLETIVO,ID_FONOGRAMA,ID_COLETIVO
361,1079,7232
362,1112,1412
363,1113,7425
364,1114,7442
365,1115,7447
366,1116,7448
367,1117,7448
368,1118,7458
369,1119,7448
370,1120,7448
371,1121,7448
372,1122,7448
373,1123,7448
374,1124,7448
375,1125,7448
376,1126,7448
377,1127,7448
378,1128,7448
379,1129,7465
380,1131,7466
381,1132,7477
382,1133,7425
383,1134,7477
384,1135,7465
385,1136,7494
386,1137,7495
387,1138,7442
388,1139,1412
389,1140,7458
390,1141,7495
391,1142,7466
392,1143,7494
393,1144,7496
394,1147,7496
395,1148,7496
396,1149,7496
397,1150,7496
398,1151,7496
399,1152,7496
400,1153,7496
401,1154,7507
402,1155,7507
403,1156,7496
404,1157,7507
405,1158,7507
406,1159,7507
407,1160,7507
408,1161,7507
409,1162,7507
410,1163,7496
411,1164,7507
412,1165,7507
413,1166,7507
414,1167,7507
415,1168,7507
416,1169,7507
417,1170,7496
418,1171,7496
419,1172,7496
420,1217,7531
421,1218,7531
422,1219,7531
423,1220,7531
424,1221,7531
425,1222,7531
426,1223,7531
427,1224,7531
428,1225,7531
429,1226,7531
430,1227,7531
431,1228,7531
432,1229,7448
433,1230,7448
434,1231,7448
435,1232,7448
436,1233,7448
437,1234,7448
438,1235,7448
439,1236,7448
440,1237,7448
441,1238,7448
442,1239,7448
443,1240,7448
444,1241,7448
445,1242,7448
446,1243,7448
447,1244,7448
448,1245,7448
449,1246,7448
450,1247,7448
451,1248,7448
452,1249,7448
453,1250,7448
454,1251,7448
455,1252,7448
456,1253,7448
457,1254,7448
458,1255,7448
459,1256,7448
460,1257,7448
461,1258,7448
462,1259,7448
463,1266,7559
464,1267,7588
465,1269,7592
466,1276,7636
467,1277,7636
468,1278,7636
469,1279,7636
470,1280,7636
471,1281,7636
472,1282,7636
473,1283,7636
474,1284,7636
475,1285,7636
476,1286,7636
477,1287,7636
478,1288,7636
479,1289,7636
480,1318,7693
481,1319,7699
482,1320,7700
483,1321,7720
484,1322,7720
485,1323,2708
486,1324,2708
487,1325,7724
488,1330,7732
489,1331,7732
490,1332,7732
491,1333,7732
492,1334,7732
493,1335,7732
494,1336,7732
495,1337,7732
496,1338,7732
497,1339,7732
498,1340,7732
499,1341,7732
500,1342,7732
501,1343,7732
502,1344,7732
503,1345,7732
504,1346,7732
505,1347,7732
506,1348,7732
507,1349,7732
508,1350,7732
509,1351,7732
510,1354,2708
511,1355,2708
512,1356,667
513,1357,2708
514,1358,667
515,1359,2708
516,1360,667
517,1361,2708
518,1362,667
519,1363,2708
520,1364,2708
521,1365,667
522,1366,667
523,1367,667
524,1368,667
525,1369,667
526,1370,667
527,1371,667
528,1372,667
529,1373,667
530,1374,667
531,1375,667
532,1376,667
533,1377,667
534,1378,667
535,1379,667
536,1380,667
537,1381,2708
538,1382,667
539,1383,667
540,1384,667
541,1389,667
542,1390,1412
543,1391,1412
544,1392,1412
545,1393,1412
546,1394,1412
547,1395,1412
548,1396,1412
549,1397,1412
550,1398,1412
551,1399,1412
552,1400,1412
553,1401,1412
554,1402,1412
555,1403,1412
556,1404,1412
557,1405,1412
558,1406,1412
559,1407,1417
560,1408,1412
561,1409,1412
562,1410,1412
563,1411,1412
564,1412,1412
565,1413,1412
566,1414,7732
567,1415,7732
568,1416,7732
569,1417,7732
570,1418,7732
571,1419,7732
572,1420,7732
573,1421,7732
574,1422,7732
575,1423,7732
576,1457,7863
577,1458,7863
578,1460,7874
579,1461,7874
580,1462,7874
581,1463,7874
582,1464,7874
583,1465,7874
584,1466,7874
585,1467,7874
586,1468,7874
587,1469,7874
588,1470,7874
589,1471,7874
590,1472,7885
591,1478,7889
592,1482,7916
593,1484,7885
594,1488,7889
595,1496,7983
596,1497,7983
597,1501,8010
598,1505,8029
599,1506,8029
600,1507,8038
601,1511,7863
602,1512,7863
603,1513,7863
604,1514,7863
605,1515,7863
606,1516,7863
607,1517,7863
608,1518,7863
609,1519,7863
610,1520,7863
611,1521,7863
612,1522,7863
613,1523,7863
614,1552,8106
615,1553,8107
616,1554,8108
617,1555,8109
618,1556,8110
619,1557,8111
620,1558,8112
621,1559,8113
622,1560,8115
623,1561,8116
624,1562,8117
625,1575,8164
626,1577,8171
627,1578,8172
628,1579,8177
629,1580,8179
630,1581,8182
631,1582,8184
632,1583,8185
633,1584,8191
634,1586,8194
635,1587,8196
636,1589,8198
637,1590,8206
638,1591,8208
639,1592,8215
640,1595,8263
641,1598,8263
642,1599,8263
643,1600,8263
644,1602,8263
645,1603,8263
646,1604,8263
647,1605,8263
648,1607,8263
649,1608,8263
650,1609,8263
651,1610,8263
652,1611,8263
653,1612,8263
654,1613,8263
655,1614,8263
656,1615,8263
657,1616,8263
658,1617,8263
659,1618,8263
660,1619,8263
661,1620,8263
662,1653,8317
663,1654,8317
664,1655,8317
665,1656,8317
666,1657,8317
667,1658,8317
668,1659,8317
669,1660,8317
670,1672,8320
671,1675,8317
672,1676,8317
673,1677,8317
674,1747,8344
675,1748,8344
676,1749,8344
677,1750,8344
678,1751,8344
679,1752,8344
680,1753,8344
681,1754,8344
682,1755,8344
683,1756,8344
684,1757,8344
685,1758,8344
686,1759,8344
687,1760,8344
688,1761,8344
689,1762,8344
690,1763,8344
691,1764,8344
692,1765,8397
693,1766,8398
694,1769,8399
695,1770,8399
696,1775,8399
697,1782,1670
698,1787,7699
699,1789,8305
700,1790,8305
701,1791,8305
702,1792,8305
703,1793,8438
704,1794,8438
705,1795,8438
706,1797,8460
707,1798,8460
